Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy	KoFamScan
k141_15404_60348_62531_-	PF00521;PF03989	DNA gyrase/topoisomerase IV, subunit A;DNA gyrase C-terminal domain, beta-propeller			IPR002205;IPR006691	DNA topoisomerase, type IIA,  domain A;DNA gyrase/topoisomerase IV, subunit A, C-terminal repeat	GO:0003677;GO:0003918;GO:0005524;GO:0006265;GO:0003916								
k141_15404_6066_6197_+															
k141_15404_6224_6805_-	PF10502	Signal peptidase, peptidase S26			IPR019533;IPR000223	Peptidase S26;Peptidase S26A, signal peptidase I	GO:0004252;GO:0006465;GO:0006508;GO:0008236;GO:0016020			TIGR02227	sigpep_I_bact: signal peptidase I				K03100
k141_15404_62606_64591_-	PF00204;PF00986;PF01751	DNA gyrase B;DNA gyrase B subunit, carboxyl terminus;Toprim domain			IPR013506;IPR002288;IPR006171	DNA topoisomerase, type IIA, subunit B, domain 2;DNA gyrase B subunit, C-terminal;TOPRIM  domain	GO:0003677;GO:0003918;GO:0005524;GO:0006265;-								
k141_15404_64813_64923_-															
k141_15404_64947_65393_+															
k141_15404_65453_65674_+															
k141_15404_65720_66950_-	PF06738;PF12821	Putative threonine/serine exporter;Threonine/Serine exporter, ThrE			IPR010619;IPR024528	Threonine/serine exporter-like, N-terminal domain;Threonine/Serine exporter, ThrE	GO:0022857;GO:0055085;-								
k141_15404_67116_67733_+	PF00188;PF01476	Cysteine-rich secretory protein family;LysM domain			IPR014044;IPR018392;IPR014248;IPR014258	CAP domain;LysM domain;Spore coat assembly protein SafA;CAP domain, YkwD-like	-			TIGR02899;TIGR02909	spore_safA: spore coat assembly protein SafA;spore_YkwD: uncharacterized protein, YkwD family			CBM50	
k141_15404_67833_69203_-	PF01554	MatE			IPR002528	Multi antimicrobial extrusion protein	GO:0015297;GO:0016020;GO:0042910;GO:0055085			TIGR00797	matE: MATE efflux family protein				K03327
k141_15404_6887_7816_-	PF01116	Fructose-bisphosphate aldolase class-II			IPR000771;IPR011289	Fructose-bisphosphate aldolase, class-II;Fructose-1,6-bisphosphate aldolase, class 2	GO:0005975;GO:0008270;GO:0016832;GO:0004332;GO:0006096;GO:0030388			TIGR00167;TIGR01859	cbbA: ketose-bisphosphate aldolase;fruc_bis_ald_: fructose-1,6-bisphosphate aldolase, class II				K01624
k141_15404_69306_71547_-	PF00015;PF00672;PF18947	Methyl-accepting chemotaxis protein (MCP) signalling domain;HAMP domain;HAMP domain			IPR004089;IPR003660	Methyl-accepting chemotaxis protein (MCP) signalling domain;HAMP domain	GO:0007165;GO:0016020								K03406
k141_15404_71627_73085_-															
k141_15404_73560_73732_+															
k141_15404_73813_75015_+					IPR006271	Phosphoserine aminotransferase, Methanosarcina-type	GO:0004648;GO:0006564			TIGR01365	serC_2: phosphoserine aminotransferase				K00831
k141_15404_75195_75579_-	PF08241	Methyltransferase domain			IPR013216	Methyltransferase type 11	GO:0008168								
k141_15404_75794_76210_-															
k141_15404_8063_9310_+	PF00365	Phosphofructokinase			IPR011404;IPR000023	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, XF0274;Phosphofructokinase domain	GO:0006096;GO:0047334;GO:0003872					MF_01978	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase [pfp].		K21071
k141_15404_9382_9783_-															
k141_15407_1201_1416_-															
k141_15407_1724_1843_-															
k141_15407_1922_2672_+	PF01402;PF13470	Ribbon-helix-helix protein, copG family;PIN domain			IPR002145;IPR002716;IPR002850	Ribbon-helix-helix protein, CopG;PIN domain;PIN family, putative toxin-antitoxin system toxin component	GO:0006355;-			TIGR00305	TIGR00305: putative toxin-antitoxin system toxin component, PIN family				K07063;K07723
k141_15407_1_99_+															
k141_15407_214_1009_+															
k141_15407_2820_2961_+															
k141_15407_3093_3437_-	PF16962	Putative ABC exporter			IPR031584	Putative ABC exporter	-								
k141_15411_1_622_-	PF09338	Glycine/sarcosine/betaine reductase component B subunits			IPR015417	Glycine/sarcosine/betaine reductase complex, protein B, subunit alpha/ beta	GO:0050485								
k141_15411_2190_3243_-	PF06782	Uncharacterised protein family (UPF0236)			IPR009620	Uncharacterised protein family UPF0236	-								
k141_15411_780_1964_+	PF05651;PF13556;PF17853	Putative sugar diacid recognition;PucR C-terminal helix-turn-helix domain;GGDEF-like domain			IPR008599;IPR025736;IPR041522	Putative sugar diacid recognition;PucR C-terminal helix-turn-helix domain;CdaR, GGDEF-like domain	-								K02647
k141_15415_104_312_-															
k141_15415_11085_15132_+	PF06808;PF16868	Tripartite ATP-independent periplasmic transporter, DctM component;NMT1-like family			IPR010656;IPR011852;IPR011853	TRAP C4-dicarboxylate transport system permease DctM subunit;TRAP transporter solute receptor, TAXI family;TRAP C4-dicarboxylate transport system permease, fused DctM-DctQ	-			TIGR02122;TIGR02123	TRAP_TAXI: TRAP transporter solute receptor, TAXI family;TRAP_fused: TRAP transporter, 4TM/12TM fusion protein				K07080
k141_15415_15491_16168_+	PF02308	MgtC family			IPR003416	MgtC/SapB/SrpB/YhiD family	GO:0016020								K07507
k141_15415_16380_16614_+															
k141_15415_16652_20782_+	PF00158;PF00874;PF02378;PF03610	Sigma-54 interaction domain;PRD domain;Phosphotransferase system, EIIC;PTS system fructose IIA component			IPR002078;IPR011608;IPR003352;IPR004701;IPR004501	RNA polymerase sigma factor 54 interaction domain;PRD domain;Phosphotransferase system, EIIC;Phosphotransferase system, mannose-type IIA component;Phosphotransferase system, EIIC component, type 3	GO:0005524;GO:0006355;GO:0008134;GO:0008982;GO:0009401;GO:0016020			TIGR00410	lacE: PTS system, lactose/cellobiose family IIC component				K02761
k141_15415_20855_21172_+	PF02302	PTS system, Lactose/Cellobiose specific IIB subunit			IPR003501	Phosphotransferase system, EIIB component, type 2/3	GO:0008982;GO:0009401								K02760
k141_15415_21195_22573_+	PF00232	Glycosyl hydrolase family 1			IPR001360	Glycoside hydrolase family 1	GO:0004553;GO:0005975							GH1	K01223
k141_15415_22644_23210_+	PF02255	PTS system, Lactose/Cellobiose specific IIA subunit			IPR003188	Phosphotransferase system, lactose/cellobiose-type IIA subunit	GO:0009401								K02759
k141_15415_2269_2389_+															
k141_15415_2438_3733_-	PF11738;PF13739	Protein of unknown function (DUF3298);Deacetylase PdaC			IPR021729;IPR025303	Domain of unknown function DUF3298;Deacetylase PdaC	-								
k141_15415_342_2133_+	PF04286;PF08812	Protein of unknown function (DUF445);YtxC-like family			IPR007383;IPR014199	Protein of unknown function DUF445;Sporulation protein YtxC	-			TIGR02834	spo_ytxC: putative sporulation protein YtxC				
k141_15415_3986_7547_-	PF00809;PF02310;PF02574;PF02607;PF03553	Pterin binding enzyme;B12 binding domain;Homocysteine S-methyltransferase;B12 binding domain;Na+/H+ antiporter family			IPR000489;IPR006158;IPR003726;IPR003759;IPR018461	Pterin-binding domain;Cobalamin (vitamin B12)-binding domain;Homocysteine-binding domain;Cobalamin (vitamin B12)-binding module, cap domain;Na+/H+ antiporter, NhaC-like, C-terminal	GO:0042558;GO:0031419;GO:0046872;-;GO:0016020								K00548;K03315
k141_15415_7648_9714_+	PF05977;PF09537	Transmembrane secretion effector;Domain of unknown function (DUF2383)			IPR010290;IPR019052	Transmembrane secretion effector;Domain of unknown function DUF2383	-								K08217
k141_15415_9846_10793_-	PF00126;PF03466	Bacterial regulatory helix-turn-helix protein, lysR family;LysR substrate binding domain			IPR000847;IPR005119	Transcription regulator HTH, LysR;LysR, substrate-binding	GO:0003700;GO:0006355;-								
k141_15416_1_2824_+	PF00082;PF07833	Subtilase family;Copper amine oxidase N-terminal domain			IPR000209;IPR012854	Peptidase S8/S53 domain;Copper amine oxidase-like, N-terminal	GO:0006508;GO:0008236;-								
k141_15424_1_401_-	PF01870	Archaeal holliday junction resolvase (hjc)			IPR002732	Holliday junction resolvase Hjc	-								
k141_15424_2041_3677_-	PF14359	Domain of unknown function (DUF4406)			IPR025518	Protein of unknown function DUF4406	-								
k141_15424_3693_3821_-															
k141_15424_700_2010_-															
k141_15428_1_688_-	PF02653	Branched-chain amino acid transport system / permease component			IPR001851	ABC transporter, permease	GO:0016020;GO:0022857;GO:0055085								K05832
k141_15428_1844_2342_-	PF09021	HutP			IPR015111	Hut operon regulatory protein HutP	-								
k141_15428_2484_2552_-															
k141_15428_707_1726_-	PF04392	ABC transporter substrate binding protein			IPR007487	ABC transporter, substrate-binding protein	-								K01989
k141_15433_1_1641_-															
k141_15436_1_1218_+	PF00005;PF00664	ABC transporter;ABC transporter transmembrane region			IPR003439;IPR011527	ABC transporter-like, ATP-binding domain;ABC transporter type 1, transmembrane domain	GO:0005524;GO:0016020;GO:0055085;GO:0140359								
k141_15436_1485_2534_+	PF00395	S-layer homology domain			IPR001119	S-layer homology domain	-								
k141_15436_2721_4751_-	PF00724;PF07992	NADH:flavin oxidoreductase / NADH oxidase family;Pyridine nucleotide-disulphide oxidoreductase			IPR001155;IPR023753	NADH:flavin oxidoreductase/NADH oxidase, N-terminal;FAD/NAD(P)-binding domain	GO:0010181;GO:0016491								K00219
k141_15436_4833_6431_+	PF13556;PF17853	PucR C-terminal helix-turn-helix domain;GGDEF-like domain			IPR025736;IPR041522	PucR C-terminal helix-turn-helix domain;CdaR, GGDEF-like domain	-								K23253;K09684
k141_15436_6623_6694_+															
k141_15445_1_113_+															
k141_15445_563_2171_+	PF00293;PF01844	NUDIX domain;HNH endonuclease			IPR000086;IPR002711	NUDIX hydrolase domain;HNH endonuclease	-;GO:0003676;GO:0004519								K03574;K07451
k141_15447_1259_1532_+	PF00118	TCP-1/cpn60 chaperonin family			IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	GO:0005524								
k141_15447_1_477_-	PF01841	Transglutaminase-like superfamily			IPR002931	Transglutaminase-like	-								
k141_15447_500_673_+															
k141_15447_888_1156_-	PF09373	Pseudomurein-binding repeat			IPR018975	Pseudomurein-binding repeat	-								
k141_15457_10689_11621_+	PF00389;PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain			IPR006139;IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	GO:0016616;GO:0051287								K00058
k141_15457_11631_16831_-	PF00117;PF00988;PF01678;PF02142;PF02786;PF02787	Glutamine amidotransferase class-I;Carbamoyl-phosphate synthase small chain, CPSase domain;Diaminopimelate epimerase;MGS-like domain;Carbamoyl-phosphate synthase L chain, ATP binding domain;Carbamoyl-phosphate synthetase large chain, oligomerisation domain			IPR001653;IPR006274;IPR006275;IPR017926;IPR002474;IPR011607;IPR005479;IPR005480	Diaminopimelate epimerase, DapF;Carbamoyl-phosphate synthase, small subunit;Carbamoyl-phosphate synthase, large subunit;Glutamine amidotransferase;Carbamoyl-phosphate synthase small subunit, N-terminal domain;Methylglyoxal synthase-like domain;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	GO:0008837;GO:0009089;GO:0004088;GO:0006207;GO:0006541;GO:0006807;-;GO:0005524			TIGR00652;TIGR01368;TIGR01369	DapF: diaminopimelate epimerase;CPSaseIIsmall: carbamoyl-phosphate synthase, small subunit;CPSaseII_lrg: carbamoyl-phosphate synthase, large subunit	MF_00197;MF_01209;MF_01210_B	Diaminopimelate epimerase [dapF].;Carbamoyl-phosphate synthase small chain [carA].;Carbamoyl-phosphate synthase large chain [carB].		K01955;K01956;K01778
k141_15457_1552_2034_-															
k141_15457_16857_18323_-	PF00156;PF13537	Phosphoribosyl transferase domain;Glutamine amidotransferase domain			IPR005854;IPR000836;IPR017932	Amidophosphoribosyltransferase;Phosphoribosyltransferase domain;Glutamine amidotransferase type 2 domain	GO:0004044;GO:0009113;-			TIGR01134	purF: amidophosphoribosyltransferase	MF_01931	Amidophosphoribosyltransferase [purF].		K00764
k141_15457_18345_18413_+															
k141_15457_18434_18581_+															
k141_15457_18613_18768_-															
k141_15457_18831_19814_+	PF00356;PF13407	Bacterial regulatory proteins, lacI family;Periplasmic binding protein domain			IPR000843;IPR025997	LacI-type HTH domain;Periplasmic binding protein	GO:0003677;GO:0006355;-								
k141_15457_19929_21335_+	PF13416	Bacterial extracellular solute-binding protein			IPR006059	Bacterial extracellular solute-binding protein	-								K02027
k141_15457_21391_22293_+	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515	ABC transporter type 1, transmembrane domain MetI-like	GO:0016020;GO:0055085								K02025
k141_15457_2149_2525_+															
k141_15457_22297_23133_+	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515	ABC transporter type 1, transmembrane domain MetI-like	GO:0016020;GO:0055085								K02026
k141_15457_23185_24744_+	PF06964	Alpha-L-arabinofuranosidase C-terminal domain			IPR010720	Alpha-L-arabinofuranosidase, C-terminal	GO:0046373;GO:0046556							GH51	K01209
k141_15457_24835_26029_+	PF04015	Domain of unknown function (DUF362)			IPR007160	Domain of unknown function DUF362	-								
k141_15457_2575_3282_+															
k141_15457_26045_26629_-	PF01928	CYTH domain			IPR023577	CYTH domain	-								
k141_15457_26719_28401_-	PF13416	Bacterial extracellular solute-binding protein			IPR006059	Bacterial extracellular solute-binding protein	-								K17318
k141_15457_28462_30298_-	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515	ABC transporter type 1, transmembrane domain MetI-like	GO:0016020;GO:0055085								K17319;K17320
k141_15457_30679_31770_+	PF00392;PF13377	Bacterial regulatory proteins, gntR family;Periplasmic binding protein-like domain			IPR000524;IPR046335	Transcription regulator HTH, GntR;Transcriptional regulator LacI/GalR-like, sensor domain	GO:0003700;GO:0006355;-								K02103
k141_15457_31808_32746_+	PF12146	Serine aminopeptidase, S33			IPR022742	Serine aminopeptidase, S33	-								K01054
k141_15457_32776_34918_-	PF00395;PF00877;PF02517	S-layer homology domain;NlpC/P60 family;Type II CAAX prenyl endopeptidase Rce1-like			IPR001119;IPR000064;IPR003675	S-layer homology domain;Endopeptidase, NLPC/P60 domain;Type II CAAX prenyl endopeptidase Rce1-like	-;GO:0004222;GO:0016020;GO:0071586								K07052
k141_15457_3405_4367_-															
k141_15457_35147_36111_-	PF01522	Polysaccharide deacetylase			IPR002509	NodB homology domain	GO:0005975;GO:0016810							CE4	
k141_15457_36231_36311_+															
k141_15457_36341_37390_+	PF01263	Aldose 1-epimerase			IPR008183	Aldose 1-/Glucose-6-phosphate 1-epimerase	GO:0005975;GO:0016853								K01785
k141_15457_37575_37746_+															
k141_15457_37873_37942_+															
k141_15457_4453_4635_+	PF20071	Family of unknown function (DUF6467)			IPR045532	Protein of unknown function DUF6467	-								
k141_15457_4648_5444_+	PF20071	Family of unknown function (DUF6467)			IPR045532	Protein of unknown function DUF6467	-								
k141_15457_5539_6814_+	PF00106	short chain dehydrogenase			IPR002347	Short-chain dehydrogenase/reductase SDR	-								
k141_15457_600_1540_+															
k141_15457_6878_9028_+	PF00528;PF13416	Binding-protein-dependent transport system inner membrane component;Bacterial extracellular solute-binding protein			IPR000515;IPR006059	ABC transporter type 1, transmembrane domain MetI-like;Bacterial extracellular solute-binding protein	GO:0016020;GO:0055085;-								K02027
k141_15457_80_563_-															
k141_15457_9087_10620_+	PF00370;PF02782	FGGY family of carbohydrate kinases, N-terminal domain;FGGY family of carbohydrate kinases, C-terminal domain			IPR018484;IPR018485	Carbohydrate kinase, FGGY, N-terminal;Carbohydrate kinase, FGGY, C-terminal	GO:0005975;GO:0016301								
k141_15459_1_1286_+	PF01609;PF05598	Transposase DDE domain;Transposase domain (DUF772)			IPR002559;IPR008490	Transposase, IS4-like;Transposase InsH, N-terminal	GO:0003677;GO:0004803;GO:0006313;-								K07487;K07481
k141_15461_1_393_+															
k141_15461_2113_2646_-															
k141_15461_2684_3448_-	PF13649	Methyltransferase domain			IPR041698	Methyltransferase domain 25	-								
k141_15461_422_854_-	PF14437	MafB19-like deaminase			IPR028883	tRNA-specific adenosine deaminase	GO:0002100;GO:0008251					MF_00972	tRNA-specific adenosine deaminase [tadA].		K11991
k141_15461_901_1773_-	PF00483	Nucleotidyl transferase			IPR005835;IPR005907	Nucleotidyl transferase domain;Glucose-1-phosphate thymidylyltransferase, short form	GO:0009058;GO:0016779;GO:0008879;GO:0045226			TIGR01207	rmlA: glucose-1-phosphate thymidylyltransferase				K00973
k141_15466_1_201_+	PF02894	Oxidoreductase family, C-terminal alpha/beta domain			IPR004104	Gfo/Idh/MocA-like oxidoreductase, C-terminal	-								
k141_15466_1814_2972_+															
k141_15466_3009_5580_-	PF01228;PF02901;PF04055;PF13353	Glycine radical;Pyruvate formate lyase-like;Radical SAM superfamily;4Fe-4S single cluster domain			IPR001150;IPR004184;IPR007197;-	Glycine radical domain;Pyruvate formate lyase domain;Radical SAM;-	GO:0003824;GO:0051536			TIGR02494	PFLE_PFLC: glycyl-radical enzyme activating protein				K04069
k141_15466_325_1672_-	PF01497	Periplasmic binding protein			IPR002491	ABC transporter periplasmic binding domain	-								K02016
k141_15481_1_1768_-															
k141_15481_1987_2584_-	PF00860	Permease family			IPR006043	Nucleobase cation symporter 2 family	GO:0016020;GO:0022857;GO:0055085								K06901
k141_15482_1_113_+															
k141_15482_1348_3561_-	PF14559	Tetratricopeptide repeat			-	-									
k141_15482_177_1316_-	PF00395	S-layer homology domain			IPR001119	S-layer homology domain	-								
k141_15482_3658_4617_-	PF12833	Helix-turn-helix domain			IPR018060	DNA binding HTH domain, AraC-type	GO:0003700;GO:0006355;GO:0043565								K07506
k141_15482_4660_4954_-															
k141_15482_5145_5303_+															
k141_15482_5580_6176_-	PF12844	Helix-turn-helix domain			IPR001387	Cro/C1-type helix-turn-helix domain	-								
k141_15482_6346_6582_+	PF01381	Helix-turn-helix			IPR001387	Cro/C1-type helix-turn-helix domain	-								
k141_15482_6867_7367_+															
k141_15482_7421_7538_+	PF01527	Transposase			IPR002514	Transposase IS3/IS911family	GO:0003677;GO:0004803;GO:0006313								
k141_15485_1_947_+	PF13205	Bacterial Ig-like domain			IPR032812	SbsA, Ig-like domain	-								
k141_15485_2791_4478_+	PF01527;PF13936	Transposase;Helix-turn-helix domain			IPR002514;IPR025246	Transposase IS3/IS911family;Transposase IS30-like HTH domain	GO:0003677;GO:0004803;GO:0006313;-								K07482;K07483
k141_15485_4632_5908_+	PF00665;PF01527;PF13276;PF13333	Integrase core domain;Transposase;HTH-like domain;Integrase core domain			IPR001584;IPR002514;IPR025948	Integrase, catalytic core;Transposase IS3/IS911family;HTH-like domain	GO:0015074;GO:0003677;GO:0004803;GO:0006313;-								K07497;K07483
k141_15485_5995_6606_+	PF00665;PF13333	Integrase core domain;Integrase core domain			IPR001584	Integrase, catalytic core	GO:0015074								K07497
k141_15485_6624_6925_+	PF00534	Glycosyl transferases group 1			IPR001296	Glycosyl transferase, family 1	GO:0016757							GT4	
k141_15485_982_2770_+	PF13231	Dolichyl-phosphate-mannose-protein mannosyltransferase			IPR038731	Glycosyltransferase RgtA/B/C/D-like	-								
k141_15486_11100_11960_+	PF00696	Amino acid kinase family			IPR037528;IPR001048;IPR004662	Acetylglutamate kinase ArgB;Aspartate/glutamate/uridylate kinase;Acetylglutamate kinase family	GO:0003991;GO:0006526;-;GO:0005737			TIGR00761	argB: acetylglutamate kinase	MF_00082	Acetylglutamate kinase [argB].		K00930
k141_15486_1_168_+															
k141_15486_11966_13138_+	PF00202	Aminotransferase class-III			IPR004636;IPR005814	Acetylornithine/Succinylornithine transaminase family;Aminotransferase class-III	GO:0006525;GO:0008483;GO:0030170			TIGR00707	argD: transaminase, acetylornithine/succinylornithine family	MF_01107	Acetylornithine/succinyldiaminopimelate aminotransferase [argD].		K00821
k141_15486_13161_14093_+	PF00185;PF02729	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain;Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain			IPR024904;IPR006131;IPR006132;IPR002292	Ornithine carbamoyltransferase;Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain;Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding;Ornithine/putrescine carbamoyltransferase	GO:0004585;GO:0006591;GO:0006520;GO:0016597;GO:0016743			TIGR00658	orni_carb_tr: ornithine carbamoyltransferase	MF_01109	Ornithine carbamoyltransferase, catabolic [argI].		K00611
k141_15486_14211_14819_+	PF04055;PF13394	Radical SAM superfamily;4Fe-4S single cluster domain			IPR007197;-;IPR023821	Radical SAM;-;Radical SAM, TatD-associated	GO:0003824;GO:0051536;-			TIGR04038	tatD_link_rSAM: radical SAM protein, TatD family-associated				
k141_15486_15046_15885_+	PF00398	Ribosomal RNA adenine dimethylase			IPR011530;IPR001737	Ribosomal RNA adenine dimethylase;Ribosomal RNA adenine methyltransferase KsgA/Erm	GO:0000179;GO:0006364;-			TIGR00755	ksgA: ribosomal RNA small subunit methyltransferase A	MF_00607	Ribosomal RNA small subunit methyltransferase A [rsmA].		K02528
k141_15486_15986_16465_+	PF04308	Ribonuclease H-like			IPR007405	Bacteriophage KVP40, Orf299	-								K09776
k141_15486_16490_17343_-	PF00535	Glycosyl transferase family 2			IPR001173	Glycosyltransferase 2-like	-								
k141_15486_17426_18307_+	PF05582	YabG peptidase U57			IPR008764	Peptidase U57, YabG	-			TIGR02855	spore_yabG: sporulation peptidase YabG				K06436
k141_15486_18329_19756_+	PF01520;PF08486	N-acetylmuramoyl-L-alanine amidase;Stage II sporulation protein			IPR002508;IPR013693;IPR013486;IPR014225	N-acetylmuramoyl-L-alanine amidase, catalytic domain;Sporulation stage II protein D, amidase enhancer LytB N-terminal;Sporulation stage II protein D, amidase enhancer LytB;Sporulation stage II, protein D firmicutes	GO:0008745;GO:0009253;-;GO:0030435			TIGR02669;TIGR02870	SpoIID_LytB: SpoIID/LytB domain;spore_II_D: stage II sporulation protein D				K06381;K01448
k141_15486_19866_20189_+	PF06257	Biofilm formation stimulator VEG			IPR009366	Protein Veg	GO:0006355								
k141_15486_20287_21300_+															
k141_15486_21606_22331_+	PF00188	Cysteine-rich secretory protein family			IPR014044;IPR014258	CAP domain;CAP domain, YkwD-like	-			TIGR02909	spore_YkwD: uncharacterized protein, YkwD family				
k141_15486_22754_23047_+															
k141_15486_23130_24782_+	PF01476;PF12673	LysM domain;Domain of unknown function (DUF3794)			IPR018392;IPR024300	LysM domain;SipL, SPOCS domain	-							CBM50	
k141_15486_24958_27267_+	PF00288;PF00392;PF07729;PF08544;PF12804	GHMP kinases N terminal domain;Bacterial regulatory proteins, gntR family;FCD domain;GHMP kinases C terminal;MobA-like NTP transferase domain			IPR004424;IPR006204;IPR000524;IPR011711;IPR013750;IPR025877	4-diphosphocytidyl-2C-methyl-D-erythritol kinase;GHMP kinase N-terminal domain;Transcription regulator HTH, GntR;GntR, C-terminal;GHMP kinase, C-terminal domain;MobA-like NTP transferase	GO:0016114;GO:0050515;GO:0005524;GO:0003700;GO:0006355;-			TIGR00154	ispE: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	MF_00061	Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [ispE].		K00919;K22293;K05799
k141_15486_27279_28088_+	PF00156;PF09182	Phosphoribosyl transferase domain;Bacterial purine repressor, N-terminal			IPR000836;IPR015265;IPR010078	Phosphoribosyltransferase domain;Bacterial purine repressor, N-terminal;Pur operon repressor	-;GO:0003677;GO:0006355;GO:0045892;GO:0045982			TIGR01743	purR_Bsub: pur operon repressor PurR				K09685
k141_15486_28216_28476_+	PF04026	SpoVG			IPR007170	Stage V sporulation protein G	GO:0030435					MF_00819	Putative septation protein SpoVG [spoVG].		K06412
k141_15486_28529_30894_+	PF12804;PF13793;PF14572	MobA-like NTP transferase domain;N-terminal domain of ribose phosphate pyrophosphokinase;Phosphoribosyl synthetase-associated domain			IPR037515;IPR005882;IPR025877;IPR029099;IPR005946	Ribose-phosphate pyrophosphokinase, bacterial-type;Bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate N-acetyltransferase;MobA-like NTP transferase;Ribose-phosphate pyrophosphokinase, N-terminal domain;Ribose-phosphate pyrophosphokinase	GO:0004749;GO:0000287;GO:0000902;GO:0003977;GO:0005737;GO:0006048;GO:0009252;GO:0019134;-;GO:0009165			TIGR01173;TIGR01251	glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase;ribP_PPkin: ribose-phosphate diphosphokinase	MF_00583_B;MF_01631	Putative ribose-phosphate pyrophosphokinase [prs].;Bifunctional protein GlmU [glmU].		K04042;K00948
k141_15486_31007_31627_+	PF01386;PF14693	Ribosomal L25p family;Ribosomal protein TL5, C-terminal domain			IPR001021;IPR029751;IPR020057	Ribosomal protein L25, long-form;Ribosomal protein L25;Ribosomal protein L25, beta domain	GO:0003735;GO:0005840;GO:0006412;GO:0008097;-			TIGR00731	bL25_bact_ctc: ribosomal protein bL25, Ctc-form	MF_01334	50S ribosomal protein L25 [rplY].		K02897
k141_15486_31667_32410_+	PF01195	Peptidyl-tRNA hydrolase			IPR001328	Peptidyl-tRNA hydrolase	GO:0004045			TIGR00447	pth: aminoacyl-tRNA hydrolase	MF_00083	Peptidyl-tRNA hydrolase [pth].		K01056
k141_15486_32612_32977_+															
k141_15486_33135_33818_-	PF00834	Ribulose-phosphate 3 epimerase family			IPR000056;IPR026019	Ribulose-phosphate 3-epimerase-like;Ribulose-phosphate 3-epimerase	GO:0005975;GO:0016857;GO:0004750;GO:0006098			TIGR01163	rpe: ribulose-phosphate 3-epimerase				
k141_15486_33921_34418_-	PF01894	Uncharacterised protein family UPF0047			IPR001602	Uncharacterised protein family UPF0047, YjbQ	-			TIGR00149	TIGR00149_YjbQ: secondary thiamine-phosphate synthase enzyme				
k141_15486_34454_35158_-	PF00121	Triosephosphate isomerase			IPR000652	Triosephosphate isomerase	GO:0004807								
k141_15486_35279_35353_+															
k141_15486_35411_37972_-	PF00158	Sigma-54 interaction domain			IPR002078	RNA polymerase sigma factor 54 interaction domain	GO:0005524;GO:0006355;GO:0008134								
k141_15486_3730_4383_+	PF13419	Haloacid dehalogenase-like hydrolase			IPR041492;IPR006439;IPR010976	Haloacid dehalogenase-like hydrolase;HAD hydrolase, subfamily IA;Beta-phosphoglucomutase hydrolase	-			TIGR01509;TIGR01549;TIGR02009	HAD-SF-IA-v3: HAD hydrolase, family IA, variant 3;HAD-SF-IA-v1: HAD hydrolase, family IA, variant 1;PGMB-YQAB-SF: beta-phosphoglucomutase family hydrolase				K01838;K01091
k141_15486_38135_38927_+	PF03829	PTS system glucitol/sorbitol-specific IIA component			IPR004716	Phosphotransferase system, glucitol/sorbitol-specific IIA component	GO:0005737;GO:0008982;GO:0009401								K02781
k141_15486_4435_5175_+	PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2			IPR002178	PTS EIIA type-2 domain	-								
